created_at,full_text,retweet_count,favorite_count,screen_name
2022-12-25T01:38:58Z,"网友在塞尔维亚偶遇一位老爷爷，用塞语弹奏演唱中国国歌。
拍摄者：对中国人好亲切
A netizen came across an old man in Serbia, playing and singing the Chinese national anthem in Serbian.
#CCCPAK 
Credit #DOUYIN https://t.co/NrUi5sy35M",83,537,zhang_heqing
2022-12-25T01:07:48Z,"新疆学生表演扭脖子惊呆支教老师 ：这真的不是特效！
This is not a special effect! #Xinjiang #China #CCCPAK https://t.co/MC16qrTmlb",20,128,zhang_heqing
2022-12-25T00:36:24Z,"The two great men took to the stage hand in hand, and together they presented a stunning performance. 2/2
#CCCPAK https://t.co/LEfKncFjh9",9,35,zhang_heqing
2022-12-25T00:33:33Z,"The two great men took to the stage hand in hand, and together they presented a stunning performance. 1/2
#CCCPAK https://t.co/TwPsVA9PPd",17,63,zhang_heqing
2022-12-25T00:33:19Z,@ZhaLiyou @ChengYang0424 Wish you all the best.,0,7,zhang_heqing
2022-12-24T15:57:17Z,"China's top legislature protests China-related content in U.S. defense act
 https://t.co/HFqxTEgOOE https://t.co/9LBMBr1k6z",6,10,zhang_heqing
2022-12-24T15:57:09Z,"Chinese mainland opposes Taiwan-related provisions in U.S. defense act
 https://t.co/d08uymcLhG https://t.co/oB5RgLplKW",8,20,zhang_heqing
2022-12-24T15:50:47Z,"普京：俄罗斯的目标是结束冲突，俄正在为此做出努力。
Putin: Russia's goal is to end the conflict, and Russia is making efforts to that end. 
Credit @CCTV https://t.co/Ss5malHSmh",35,140,zhang_heqing
2022-12-24T15:49:44Z,"中央广播电视总台发布了2022年度国内、国际十大考古新闻。戳视频，一起回顾今年国内、国际考古事业的高光时刻！（via：央视新闻）
The China Media Group has released the top 10 domestic and international archaeological news stories for 2022. (via: CCTV News)  @CCTV https://t.co/FgQRRbpI8n",19,60,zhang_heqing
2022-12-24T15:40:53Z,"Awesome! Morning exercises in China. 
Don't imitate if you are not qualified. https://t.co/VOGnCGycgv",15,121,zhang_heqing
2022-12-24T15:36:42Z,Passion for traditional. Presented by China National Song and Dance Troupe. #China #CCCPAK https://t.co/gQtSU7d4jq,15,97,zhang_heqing
2022-12-24T15:29:06Z,"Turkish university cultivates talents in Chinese to boost China-Türkiye ties
 https://t.co/wQHCJvEYu8 https://t.co/xJntotR3Bc",6,12,zhang_heqing
2022-12-24T15:28:15Z,"Eyes on Hainan: Ghanaian brings Africa to Hainan
 https://t.co/ppumKQZzHq https://t.co/5sD0R9HlKW",4,5,zhang_heqing
2022-12-24T15:27:59Z,"""Snow mushrooms"" on lakes in China's Xinjiang
 https://t.co/N3f8vemOti https://t.co/vwQJGvwAsH",5,13,zhang_heqing
2022-12-24T15:27:49Z,"Manager of Taiwan Compatriots Apartment in China's Fuzhou wins heart of residents
 https://t.co/fqWS4qmms9 https://t.co/NZ8NV0RqpE",3,10,zhang_heqing
2022-12-24T15:27:38Z,"87-year-old granny's ageless passion for skiing
 https://t.co/8peSJEAdef https://t.co/POZu2xKbfj",3,9,zhang_heqing
2022-12-24T15:27:02Z,"U.S. House passes 1.7 trillion-USD gov't funding package
 https://t.co/use0e8OI8L https://t.co/QK5fkEOjaH",4,9,zhang_heqing
2022-12-24T15:25:20Z,"Xi stresses building up China's strength in agriculture at key rural work conference
 https://t.co/3T4EdpnqKt https://t.co/DlIZmfqLim",8,38,zhang_heqing
2022-12-24T13:58:42Z,"If Canberra maintains consistency, the future of China relations is promising
 https://t.co/hMVfBy1kQq https://t.co/Iy4OaZyiuq",6,15,zhang_heqing
2022-12-24T13:58:09Z,"Has China-Australia relationship bottomed out?
 https://t.co/np1LEw3xof https://t.co/Q0PeSgJJPd",3,13,zhang_heqing
