created_at,full_text,retweet_count,favorite_count,screen_name
2022-12-20T07:47:53Z,"Baihetan hydropower station is now set to be operational. It's located on the Jinsha River, the upper section of the Yangtze River in SW China and  will be the world's 2nd-largest in terms of total installed capacity. https://t.co/ozmSo061RR",107,559,SpokespersonCHN
2022-12-19T14:12:04Z,President Xi sent a congratulatory letter to the 5th Arabic Arts Festival. He hopes China and Arab states will carry forward the Silk Road Spirit and strengthen people-to-people exchanges and traditional friendship. https://t.co/yNnZrwMF29,94,470,SpokespersonCHN
2022-12-19T06:49:23Z,Félicitations et merci à l'Argentine et à la France pour la #FIFAWorldCupfinal fantastique et extraordinaire ! Travail d'équipe. Ténacité. Persévérance. Voilà exactement ce dont le monde a besoin aujourd'hui. https://t.co/YmTn00CbIN,77,468,SpokespersonCHN
2022-12-19T06:48:56Z,¡Felicitaciones y gracias a Argentina y Francia por la fantástica y extraordinaria #FIFAWorldCupfinal! Trabajo en equipo. Tenacidad. Perseverancia. Eso es exactamente lo que se necesita en el mundo de hoy. https://t.co/7HZmde48jO,67,386,SpokespersonCHN
2022-12-19T02:03:41Z,"Congratulations🎉 and thanks to #Argentina and #France, for the fantastic and extraordinary #FIFAWorldCupfinal! Team work. Tenacity. Perseverance. That’s exactly what's needed in today’s world. https://t.co/ziJs8AUdHY",154,1388,SpokespersonCHN
2022-12-18T13:44:31Z,Oui ! 全力以赴(quanliyifu -- donner le meilleur de soi-même) ! Impatiente d'une finale fantastique ce soir ! Allez l'Argentine ! Allez la France ! https://t.co/HRnp8cwC2y,120,1262,SpokespersonCHN
2022-12-18T13:43:41Z,¡Sí! 全力以赴(quanliyifu--hacer todos los esfuerzos y ser lo mejor posible) ！ ¡Esperando un fantástico partido esta noche! ¡Vamos Argentina! ¡Vamos Francia! https://t.co/d7RaMBu5pg,52,487,SpokespersonCHN
2022-12-18T11:53:38Z,Yes! 全力以赴（quanli yifu -- go all out and be your best）! Looking forward to a fantastic game tonight! Go Argentina! Go France! #WorldCupFinal https://t.co/t8HsbUyETO,250,2795,SpokespersonCHN
2022-12-16T12:55:18Z,Chairman of the German Chamber of Commerce in China Clas Neumann: “China remains unrivaled in terms of market size and market growth opportunities for many German companies. The large majority will stay committed to the Chinese market.” https://t.co/9mRJoheEPr,136,544,SpokespersonCHN
2022-12-16T12:18:21Z,"President Xi addressed the opening of High-level Segment of #COP15 Part II by video link. Solidarity &amp; cooperation is the only effective way to address global challenges, and we need to work jointly to build a community of all life on the Earth.
Full text:
https://t.co/2m0N15p5E2",81,390,SpokespersonCHN
2022-12-15T15:49:00Z,"Automated farming: this is how hydroponic lettuce is harvested and transported at a highly automated farm in China, a technique that can increase vegetable yields and make them more nutritious. https://t.co/SfOLs60rNn",204,978,SpokespersonCHN
2022-12-15T15:29:00Z,China’s committed efforts in bio-diversity conservation have paid off. Promoting harmony between humanity and nature is our way to achieve modernization. #COP15 #Biodiversity2022 https://t.co/ocETn6A6MT,128,413,SpokespersonCHN
2022-12-15T15:09:58Z,https://t.co/SnQFE9PA5A,53,209,SpokespersonCHN
2022-12-15T15:09:54Z,"Under the framework of #FOCAC, cooperation with China has brought better infrastructure, more jobs, and sustainable development to Africa. https://t.co/6VxANYbOsK",85,401,SpokespersonCHN
2022-12-15T14:51:36Z,President Xi delivered written remarks at 15th China-Latin America Entrepreneurs Summit. China stays committed to win-win strategy of opening up&amp;economic globalization and will create more opportunities for the world with its development to the benefit of people of all countries.,96,493,SpokespersonCHN
2022-12-15T14:42:31Z,Who will feed China? China must depend on itself and feed itself. https://t.co/uylCOkmwQJ,408,2874,SpokespersonCHN
2022-12-14T11:29:00Z,China's record-high grain harvest this year has helped stabilize the global grain market and ensure #foodsecurity. https://t.co/rFYzvFMDG9,192,846,SpokespersonCHN
