docname,Segment,WPS,WC,Sixltr,Dic,culture.culture-high,culture.culture-popular,culture.sport,culture,economy.+state+,economy.=state=,economy.-state-,environment.con environment,environment.pro environment,groups.ethnic,groups.women,institutions.conservative,institutions.neutral,institutions.radical,law_and_order.law-conservative,law_and_order.law-liberal,rural,urban,values.conservative,values.liberal,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Strengthen_the_Party_s_Leadership_in_the_Comprehen.csv.25,761,32.57142857142857,228,21.49,10.96,0,0,0,0,0,0,1.32,0,0,0,0,6.14,0.44,1.75,0,0,0.44,0,0.88,0,7.46,3.07,2.63,0,0,0,0,0,1.75,0.88,0,5.7
Strengthen_the_Party_s_Leadership_in_the_Comprehen.csv.26,762,38,152,25,11.18,0,0,0,0.66,1.97,3.29,0,0,0,0,0,3.29,0.66,0,0.66,0,0,0,0.66,0,13.16,2.63,8.55,0,0,0,0,1.97,0,0,0,11.18
Strengthen_the_Party_s_Leadership_in_the_Comprehen.csv.27,763,56.333333333333336,169,24.85,8.88,0,0,0,0,0,0,0,0,0,0,0,4.14,1.18,0.59,0.59,0,0,0,1.78,0.59,17.75,1.78,13.02,0,0,0,0,0,2.96,1.78,0,14.79
Strengthen_the_Party_s_Leadership_in_the_Comprehen.csv.28,764,25,50,20,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,4,4,0,0,0,0,2,0,0,0,8
Strengthening_Cooperation_Among_Political_Parties_.csv.1,765,7,7,57.14,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,14.29,0,0,0,0,0,0,0,0,14.29
Strengthening_Cooperation_Among_Political_Parties_.csv.2,766,6,6,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,33.33
Strengthening_Cooperation_Among_Political_Parties_.csv.3,767,46.666666666666664,140,29.29,3.57,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0.71,0,0,0,0,1.43,0,11.43,1.43,4.29,0,0,0,0.71,0.71,2.86,1.43,0.71,6.43
Strengthening_Cooperation_Among_Political_Parties_.csv.4,768,36,108,27.78,5.56,0,0,0,1.85,0,0.93,0,0,0,0,0,0,0,0.93,0,0,0,0,1.85,0,7.41,2.78,2.78,0,0,0,0,0,1.85,1.85,0,5.56
Strengthening_Cooperation_Among_Political_Parties_.csv.5,769,37.5,75,26.67,5.33,0,0,0,2.67,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,1.33,0,9.33,2.67,6.67,0,0,0,0,0,0,0,0,9.33
Strengthening_Cooperation_Among_Political_Parties_.csv.6,770,6,6,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,33.33
